id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
218196214,"13-2220833","2013-08-06T12:13:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.83081,42.936036,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"100 Block RICHLAWN AV","LARCENY/THEFT",
214875257,"13-2181055","2013-08-06T11:06:31Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.806256,42.909773,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"DOAT ST & SATTLER AV","ROBBERY",
214874887,"13-2180105","2013-08-06T04:32:51Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.824303,42.914456,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"MOSELLE ST & E FERRY ST","ASSAULT",
214875256,"13-2181030","2013-08-06T10:28:16Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.825649,42.914975,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block STEVENS AV","LARCENY/THEFT",
216839872,"13-2190491","2013-08-06T11:30:00Z",0,718,"Buffalo Police Department",0,97,"SEXUAL ABUSE",true,-78.829132,42.917684,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"400 Block GRIDER ST","SEXUAL ABUSE",
217620530,"13-2210403","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.80614199999999,42.919679,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block HAZELWOOD AV","LARCENY/THEFT",
214874884,"13-2180040","2013-08-06T01:23:36Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.79983300000001,42.919691,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block EDISON ST","ASSAULT",
214875244,"13-2180671","2013-08-06T05:13:28Z",0,718,"Buffalo Police Department",0,98,"ROBBERY",true,-78.802233,42.922759,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"E DELAVAN AV & EDISON AV","ROBBERY",
216839910,"13-2200194","2013-08-06T06:45:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.813125,42.930284,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"2700 Block BAILEY AV","LARCENY/THEFT",
214875247,"13-2180808","2013-08-06T06:50:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.815776,42.939992,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"600 Block AMHERST ST","LARCENY/THEFT",
216839947,"13-2200358","2013-08-06T11:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.80408300000001,42.939,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block LEONARD ST","LARCENY/THEFT",
214874898,"13-2180301","2013-08-06T11:05:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.88094599999999,42.885979,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block S ELMWOOD AV","LARCENY/THEFT",
216839886,"13-2190815","2013-08-06T08:00:00Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.889775,42.898193,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"500 Block NIAGARA ST","BURGLARY",
222981669,"13-2270566","2013-08-06T10:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.865951,42.878828,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"SENECA ST & CHICAGO ST","LARCENY/THEFT",
214875236,"13-2180521","2013-08-06T03:11:59Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.878669,42.885792,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block DELAWARE","LARCENY/THEFT",
214875246,"13-2180751","2013-08-06T04:15:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.874415,42.885611,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block LAFAYETTE SQ","LARCENY/THEFT",
214874890,"13-2180146","2013-08-06T07:13:50Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.878631,42.884816,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block DELAWARE AV","LARCENY/THEFT",
216839883,"13-2190748","2013-08-06T11:00:00Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.876171,42.886265,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block COURT ST","BURGLARY",
214875235,"13-2180490","2013-08-06T02:00:00Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.837343,42.889925,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block PADEREWSKI DR","BURGLARY",
216839850,"13-2190206","2013-08-06T10:00:00Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.836187,42.88112,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block METCALFE ST","BURGLARY",
214875253,"13-2181002","2013-08-06T08:30:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.871566,42.898954,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"1 Block PEARL ST","LARCENY/THEFT",
216839839,"13-2180805","2013-08-06T07:15:01Z",0,718,"Buffalo Police Department",0,100,"BURGLARY",true,-78.83534400000001,42.893826,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"400 Block ONTARIO","BURGLARY",
214875228,"13-2080485","2013-08-06T12:00:00Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.819997,42.872072,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"CLINTON ST & BAILEY AV","ASSAULT",
